content_id,publish_timestamp,created,last_modified,doi,name,content_type,item_type,creator,primary_creator,resource_sub_type,resource_type,publisher_name,book_title,book_subtitle,collection_name,iiif_url
50c910a7-5e6a-3b90-9bfe-f6a55b99a416,1992-01-01 00:00:00.000000 +00:00,2021-05-20 20:14:03.729306 +00:00,2021-05-27 18:54:57.552097 +00:00,10.2307/struggles.1003346127,Stop Apartheid's Violence poster,contributed_images,ccda_text,"[""Africa Fund""]",Africa Fund,Posters,Images,"[""Africa Fund""]",,,Struggles for Freedom: Southern Africa,https://stor.stage.artstor.org/iiif/2019/08/20/05/9a1e6524-9944-49bd-bf11-5640248c667c.jp2
50cb3859-1f21-3993-aa21-c1d12d89f0a7,1994-03-01 00:00:00.000000 +00:00,2022-02-16 15:49:56.832668 +00:00,2022-02-16 15:49:56.832671 +00:00,10.2307/struggles.1003325777,South Africa: From Apartheid to Democracy,contributed_books,ccda_text,"[""Anti-Apartheid Movement""]",Anti-Apartheid Movement,Pamphlets,Books,"[""Anti-Apartheid Movement""]",,,Struggles for Freedom: Southern Africa,https://stor.stage.artstor.org/iiif/2019/08/19/23/d78dc883-ca4b-45ff-9f2b-837aadf2cbe8.jp2
52260357-4ea2-3604-bf29-ac489385d089,1993-10-01 00:00:00.000000 +00:00,2022-02-16 15:31:16.391755 +00:00,2022-02-16 15:31:16.391756 +00:00,10.2307/3234998,The Road Not Taken: Supreme Court Dissents on Freedom of Association for Political Parties,journal,article,"[""Paul R. Petterson""]",Paul R. Petterson,,,"[""The University of Chicago Press""]",,,,
5403f04d-e480-3ca8-8e8c-0d00573bb8fd,2013-01-01 00:00:00.000000 +00:00,2022-02-16 15:31:31.462709 +00:00,2022-02-16 15:31:31.462711 +00:00,10.5406/j.ctt3fh5sf.4,1 The Road to Revolution,book,chapter,"[""GERALD HORNE""]",GERALD HORNE,,,"[""University of Illinois Press""]",Black Revolutionary,William Patterson and the Globalization of the African American Freedom Struggle,,
573c87f8-4764-3e3e-87d1-deba55fe26bf,1927-01-01 00:00:00.000000 +00:00,2021-06-16 18:30:21.450344 +00:00,2021-06-16 18:30:21.450346 +00:00,10.2307/ithaka.org.1003748622,"Omega Award Winning Article ""Broken Lamps"" by Rachel Carson Appearing in a 1927 issue of The Arrow",contributed_serials,ccda_text,"[""Carson, Rachel, 1907-1964""]","Carson, Rachel, 1907-1964",Articles,Serials,"[""Chatham University""]",,,Chatham University - Rachel Carson Collection Test,https://stor.stage.artstor.org/iiif//2019/11/26/20/5d16001e-9ab3-4b2e-a7f2-5ebb6ff3f540_deflate.tif
59569f80-32e4-392f-921e-dc0f5df3059f,1991-01-01 05:00:00.000000 +00:00,2021-02-27 01:29:57.649209 +00:00,2021-12-14 18:06:15.419325 +00:00,10.2307/.1003325228,The Open School Children's Art Calendar 1991,contributed_images,ccda_text,[],,Posters,Images,,,,Struggles for Freedom: Southern Africa,https://stor.stage.artstor.org/iiif//2019/08/21/23/7ee8f560-b301-4e44-b726-33997c0bf3f4.jp2
59ad9e09-d6fe-3291-b45a-c5821061afd9,1999-12-01 00:00:00.000000 +00:00,2022-02-16 15:58:53.455136 +00:00,2022-02-16 15:58:53.455138 +00:00,10.2307/777910,Who's Afraid of Visual Culture?,journal,article,"[""Johanna Drucker""]",Johanna Drucker,,,"[""Taylor & Francis, Ltd."", ""College Art Association""]",,,,
5a4eba0d-d6b1-366a-aa3b-7f12204069a7,1926-01-01 00:00:00.000000 +00:00,2022-02-16 14:57:56.713857 +00:00,2022-02-16 14:57:56.713859 +00:00,10.2307/ithaka.org.1003748624,"Article ""Why I am a Pessimist"" by Rachel Carson Appearing in a 1927 issue of The Arrow",contributed_serials,ccda_text,"[""Carson, Rachel, 1907-1964""]","Carson, Rachel, 1907-1964",Articles,Serials,"[""Chatham University""]",,,Chatham University - Rachel Carson Collection Test,https://stor.stage.artstor.org/iiif//2019/11/26/20/1dca6823-212a-441a-a8a3-dfa0a06cfcae_deflate.tif
5a937992-3cd6-374e-9553-a60dc36d770c,1963-03-18 00:00:00.000000 +00:00,2022-02-16 14:55:48.503558 +00:00,2022-02-16 14:55:48.503561 +00:00,10.2307/ithaka.org.1003748628,"Letter from Rachel Carson to Chatham College dated March 18, 1963",contributed_documents,ccda_text,"[""Carson, Rachel, 1907-1964""]","Carson, Rachel, 1907-1964",Letters (Correspondence),Documents,,,,Chatham University - Rachel Carson Collection Test,https://stor.stage.artstor.org/iiif//2019/11/26/20/f1897e93-ed9b-4478-a337-178d0f182453_deflate.tif
5af77ea8-c7bf-31e7-a034-de2c73ef6cd9,1917-09-01 00:00:00.000000 +00:00,2022-02-16 15:56:18.869503 +00:00,2022-02-16 15:56:18.869505 +00:00,10.2307/25136115,Exhibition of War Posters,journal,article,[],,,,"[""Cleveland Museum of Art""]",,,,
5bb6d1ec-a458-36ab-88f5-2e0f0f180a78,1965-01-01 00:00:00.000000 +00:00,2022-02-16 15:34:10.984897 +00:00,2022-02-16 15:34:10.984899 +00:00,10.2307/struggles.1003323289,On Freedom Road,contributed_images,ccda_text,"[""Mackay, Peter""]","Mackay, Peter",Photographs,Images,"[""University of Stirling Archives""]",,,Struggles for Freedom: Southern Africa,https://stor.stage.artstor.org/iiif//2019/08/22/08/04599577-aa20-4ddf-ba36-18b4bcac8ca6.jp2
5bf702fb-36b0-3154-8e08-9d345843d233,1998-04-01 00:00:00.000000 +00:00,2022-02-16 15:58:43.965952 +00:00,2022-02-16 15:58:43.965954 +00:00,10.2307/3109288,Visual Culture: A New Paradigm,journal,article,"[""William Innes Homer""]",William Innes Homer,,,"[""The Smithsonian Institution"", ""The University of Chicago Press""]",,,,
5c00f859-322a-3c8d-a64e-080f08ffe620,2010-01-01 00:00:00.000000 +00:00,2022-02-16 15:30:44.394861 +00:00,2022-02-16 15:30:44.394863 +00:00,10.2307/j.ctt2tt32z.8,4 No Easy Road to Freedom:,book,chapter,"[""M. Brinton Lykes""]",M. Brinton Lykes,,,"[""Georgetown University Press""]",Driven from Home,Protecting the Rights of Forced Migrants,,
5e816925-4c43-3bd5-820a-77ca5fe3ffc7,1928-01-01 00:00:00.000000 +00:00,2021-06-16 18:29:31.119754 +00:00,2021-06-16 18:29:31.119756 +00:00,10.2307/ithaka.org.1003748647,"Image of Rachel Carson with the Pennsylvania College for Women Championship Field Hockey Team Appearing in from the School Yearbook, The Pennsylvanian",contributed_images,ccda_text,"[""Chatham University""]",Chatham University,Photographs,Images,"[""Chatham University""]",,,Chatham University - Rachel Carson Collection Test,https://stor.stage.artstor.org/iiif//2019/11/26/20/5946675a-d3d8-4b67-bdfa-1585174e4658_deflate.tif
5ed2cd43-8621-3243-b2b3-a8b9864bd77d,1998-03-01 00:00:00.000000 +00:00,2022-02-16 15:58:57.939780 +00:00,2022-02-16 15:58:57.939782 +00:00,10.2307/30030884,Filling in the Picture: Visual Culture,journal,article,"[""George H. Roeder Jr.""]",George H. Roeder Jr.,,,"[""The Johns Hopkins University Press""]",,,,
